"PROD_DTL_ID","COMMON_PRODUCT_NUM","PROD_DTL_NAME"
2140,"901993","X-IGA HOT NE 12"
2141,"901994","X-IGA HOT NE 12"
2145,"901998","X-IGA HAM 12"
2146,"901999","X-IGA HOT NE 8"
828,"900753","BREAD UNKNOWN"
831,"900756","BREAD UNKNOWN"
832,"900757","BREAD UNKNOWN"
833,"900758","BREAD UNKNOWN"
835,"900760","BREAD UNKNOWN"
836,"900761","BREAD UNKNOWN"
838,"900763","BREAD UNKNOWN"
840,"900765","SL BOHEM RYE"
841,"900766","BREAD UNKNOWN"
843,"900768","BREAD UNKNOWN"
844,"900769","JEWISH RYE"
845,"900770","BREAD UNKNOWN"
847,"900772","BREAD UNKNOWN"
849,"900774","BREAD UNKNOWN"
851,"900776","CORN RYE"
852,"900777","STCORN RYE"
853,"900778","BREAD UNKNOWN"
855,"900780","BREAD UNKNOWN"
856,"900781","BREAD UNKNOWN"
858,"900783","BREAD UNKNOWN"
861,"900786","SIX IN EGG HOTDOG"
863,"900788","BREAD UNKNOWN"
864,"900789","BREAD UNKNOWN"
865,"900790","BREAD UNKNOWN"
868,"900793","DINNER ROLL"
869,"900794","BREAD UNKNOWN"
870,"900795","BREAD UNKNOWN"
872,"900797","BKR SQ WHI"
873,"900798","BREAD UNKNOWN"
876,"900801","BREAD UNKNOWN"
877,"900802","BREAD UNKNOWN"
878,"900803","BREAD UNKNOWN"
880,"900805","BREAD UNKNOWN"
881,"900806","BREAD UNKNOWN"
884,"900809","BREAD UNKNOWN"
887,"900812","BREAD UNKNOWN"
890,"900815","BREAD UNKNOWN"
891,"900816","BREAD UNKNOWN"
892,"900817","BREAD UNKNOWN"
893,"900818","DPR WHEAT"
895,"900820","BREAD UNKNOWN"
896,"900821","BREAD UNKNOWN"
897,"900822","BREAD UNKNOWN"
901,"900826","BREAD UNKNOWN"
902,"900827","BREAD UNKNOWN"
906,"900831","BREAD UNKNOWN"
907,"900832","BREAD UNKNOWN"
908,"900833","BREAD UNKNOWN"
911,"900836","BREAD UNKNOWN"
913,"900838","BAGEL SESAME"
916,"900841","BREAD UNKNOWN"
918,"900843","BAGEL EGG"
919,"900844","BREAD UNKNOWN"
923,"900848","BREAD UNKNOWN"
